Keywords,Title,cluster,categorie
vehicular adhoc network tcp westwoodnr network simulator bonnmotion manet cwnd rtt mobile adhoc network,Evaluation_of_Best_Suitable_Scenario_for,1,vehicular network
vehicular ad hoc network fault tolerant clustering filtering,Fault_Tolerance_Approach_for_Improving_C,1,vehicular network
data mule bittorrent,First Experience with CarTorrent in a Real Vehicular Ad Hoc Network Testbed,0,architecture software
mobile adhoc network particle swarm optimization routing protocol,Fitness Function Based Particle Swarm Optimization Algorithm for Mobile Adhoc Networks,1,vehicular network
fog computing handover software defined networking vehicular ad hoc networks,Flexible_handover_solution_for_vehicular,1,vehicular network
vehicle vehicle communication fractal,FractalAntennaDesignforOvertaking,0,architecture software
fuzzification fuzzy logic greedy routing membership functions routing protocol vehicular ad hoc networks,Fuzzy Logic based Greedy Routing (FLGR) in  Multi-Hop Vehicular Ad hoc Networks,1,vehicular network
ad hoc networks opportunistic forwarding localized algorithm traffic information,Generation_and_dissemination_of_traffic_informatio,1,vehicular network
geocasting particle swarm optimization vanets routing,Geocasting in Vehicular Adhoc Networks Using Particle Swarm Optimization,0,architecture software
forwarding geographical greedy routing vanet,Geographical Forwarding Methods in Vehicular Ad hoc Networks,1,vehicular network
doi  issn httpwww cnki netkcmsdetail tn html published online august,Hybrid Content Distribution Framework for Large Scale Vehicular Ad Hoc Networks,0,architecture software
vehicular ad hoc network traffic simulation network simulation intelligent transportation system network coding,HYBRID SIMULATION NETWORK FOR VEHICULAR AD HOC NETWORK (VANET),1,vehicular network
interchangeable meanings vanets research papers for vanets  include vanet intervehicle intervehicular in addition ns ns also used queries referring underlying ns simulator it noted pls seen queries,Impact of NS R2 as FOSS S imulat ion T ool for esearch in Vehicular Ad hoc Networks,0,architecture software
fish swarm multicasting path establishment,Improved_Fish_Swarm_Algorithm_for_Path_E,0,architecture software
vanet sybil attacks cross layer fuzzy logic introduction,Improvement of Sybil Attack Detection in Vehicular Ad-Hoc Networks using Cross-layer and Fuzzy Logic,0,architecture software
framework model vehicular ad hoc networks vanet wireless communication network simulation,IMPROVING MESSAGE DELIVERY IN VEHICULAR AD-HOC NETWORKS,1,vehicular network
vanet cloud computing network message prioritization network resources,Improving Response Time of Vehicular Ad hoc NETworks (VANET),1,vehicular network
network management vehicular ad hoc network vanet artificial immune system ais ant colony system acs clustering analysis meta heuristic algorithms,Improving Vehicular Ad-Hoc Network Stability Using,1,vehicular network
intelligent traffic control adhoc networks wireless sensor networks,INTELLIGENT TRAFFIC CONTROL DEVICE MODEL USING AD HOC NETWORK,1,vehicular network
vehicular ad hoc networks cognitive agents push pull concept,INTELLIGENT_INFORMATION_DISSEMINATION_IN,1,vehicular network
ad hoc network co emission communication traffic control vehicles vehicle safety,Intelligent_Traffic_Control_System_and_A,1,vehicular network
iot traffic congestion smart city adhoc networks review date submission oct date acceptance nov  introduction nowadays increase population human beings vehicles,Internet_of_Things_Enabled_Vehicular_and_Ad_Hoc_Ne,0,architecture software
vehicular ad hoc network road side unit on board unit security attacks introduction,In_Depth_Analysis_of_Attacks_and_Counter,1,vehicular network
location service protocol vanet ad hoc network location server,Location Server Selection Techniques in Vehicular Ad-Hoc Network,1,vehicular network
vanets mobility management     hv its rsus rvs,Mobility Management in VANET,0,architecture software
vehicular ad hoc networks mobile networks mobility models mobility simulation,MOBILITY_MODELS_IN_VEHICULAR_AD_HOC_NETWORKS_THE_O,1,vehicular network
manet vanets aodv dsr tora,Mobility_Simulation_of_Reactive_Routing_Protocols_,0,architecture software
trf ignore rest,ndvn-named-data-for-vehicular-networking-IJERT,0,architecture software
intelligent transportation systems its connectivity vehicular ad hoc networks one dimensional ad hoc networks,On the Connectivity of One-Dimensional Vehicular Ad Hoc Networks,1,vehicular network
inter vehicle communication ivc ad hoc networks utra tdd vehicular traffic theory traffic,On the Dynamics of Ad Hoc Networks for Inter Vehicle Communications (IVC),1,vehicular network
vehicular ad hoc networks security cryptography,On_Privacy_and_Integrity_in_Vehicular_Ad,1,vehicular network
vehicular ad hoc networks    data dissemination road safety,Optimized Ad-hoc Multi-hop Broadcast Protocol for Emergency Message Dissemination in Vehicular Ad-hoc Networks,1,vehicular network
vehicular ad hoc networks vanet security authentication privacy non repudiation confidentiality,Overview_VANET_security,1,vehicular network
vanet manet path duration link duration least remaining distance routing protocols,Path_Duration_Analysis_in_Vehicular_Ad_H,1,vehicular network
network coding vanet vehicle,Peer_To_Peer_Content_Distribution,1,vehicular network
mdora vanet manet vadd iots introduction,Perfomance evaluation of mdora protocol in vehicular ad hoc network,1,vehicular network
vanets wsn mems,Performance Analysis of inter Vehicular Ad-hoc Networks Handovers Using RealTime Applications of Wireless Sensor Networks for Current scenario,0,architecture software
vanet opnet manet mobility,Performance Analysis of Vehicular Ad Hoc Network (VANET) Considering Different Scenarios of a City,1,vehicular network
vanet mobility graph  throughput end end delay packets loss routing protocols vehicle speed packet size ns vanetmobisim introduction vehicular ad hoc networks vanets special type ad hoc,PERFORMANCE EVALUATION OF MOBILITY AND ROUTING PROTOCOLS FOR VEHICULAR AD HOC NETWORKS USING NS-2 AND VANETMOBISIM,1,vehicular network
vanet multi channel ieee safety non safety applications network simulator,Performance Evaluation of Multi-Channel Operation For Safety And Non-Safety Application On Vehicular Ad Hoc Network,0,architecture software
aodv eaodv manet vanet,Performance Improvement of AODV Protocol In Vehicular Ad hoc Network (VANET,1,vehicular network
ad hoc aodv bonnmotion delay dsr,PerformanceofReactiveRoutingProtocolsDSRandAODVinVehicularAd-HocNetworksBasedonQualityofServiceQosMetrics-C6608029320,1,vehicular network
vanet aodv aomdv dsr dsdv routing performance introduction,Performance_Analysisof_AODVAOMDVDSRDSDVR,1,vehicular network
vehicular ad hoc networks support vector machines denial service attack intrusion detection machine learning,Performance_Analysis_and_Comparison_of_A,1,vehicular network
vanets manets ad hoc network ns trace graph,Performance_Analysis_of_Ad_Hoc_Routing_P,1,vehicular network
vanets ns     aodv dsr,PERFORMANCE_ANALYSIS_OF_ON_DEMAND_ROUTIN,0,architecture software
vehicular ad hoc network rpms free space model two ray ground shadowing nakagami,Performance_Evaluation_of_Radio_Propagation_Model_,1,vehicular network
intervehicle communications manets dsrc bit error rate safety applications simulation ofdm throughput latency,Performance_evaluation_of_safety_applica,0,architecture software
vanet clustering aodv aodv,PERFORMANCE_EVALUATION_OF_VEHICULAR_AD_H,1,vehicular network
vanets manets ad hoc network ns trace graph,Performance_Evalution_Of_Reactive_and_Pr,1,vehicular network
non safety applications service control channel   bandwidth utilization,Profile Adaptive MAC Protocol for Non-Safety Messages on Vehicular Ad Hoc Networks,0,architecture software
vanet manet security broadcasting routing,Qatar-A Taxonomy of Security Attacks and Issues in Vehicular Ad-Hoc Networks,1,vehicular network
vanet routing protocol pbr car cbr etc introduction  vanet form vehicular mobile ad hoc networks provide communication among nearby vehicles vehicles nearby fixed equipment   roadside equipment,Qualitative_based_Comparison_of_routing_protocols_for_VANET,1,vehicular network
vanet mobile agents routing malicious nodes mobility,Recognition and Elimination of Malicious Nodes in Vehicular Ad hoc Networks,1,vehicular network
vanet replica dissemination location dependent data geocasting xed nodes,Replica Distribution Scheme for Location-Dependent Data in Vehicular Ad Hoc Networks using a Small Number of Fixed Nodes,0,architecture software
ad hoc network broadcasting fcc mobility qos topology,Research Issues on Vehicular Ad hoc Network,1,vehicular network
vanet hybrid channel allocation congestion prevention buffer optimization,Research on Related Technologies of MAC Layer in Vehicular Ad Hoc Networks,0,architecture software
vehicular ad hoc network vanet attacks security privacy certificate,Review  of  Vehicular Ad Hoc Network Security,1,vehicular network
vanets vehicular ad hoc networks routing protocols vanets vehicle to vehicle communication reliability,RIVER_A_reliable_inter_vehicular_routing,1,vehicular network
vane mobile hosts network communication,ROUTING PROTOCOLS IN VEHICULAR ADHOC NETWORKS (VANETs),1,vehicular network
vehicular ad hoc network vanet routing protocol mobile ad hoc network aodv dsr dsdv aomdv,RoutinginVANETIJARCSSEDec14,1,vehicular network
modelling mobility vehicular ad hoc networks street mobility ns simulation wireless networks,Routing_improvement_using_directional_an,1,vehicular network
vanet accident prevention safety application gps safety distance safety distance calculation collision avoidance,Safety Distance Calculation for Collision Avoidance in Vehicular Ad hoc Networks,0,architecture software
vehicular ad hoc networks wireless security,Securing vehicular ad hoc networks,1,vehicular network
vehicular ad hoc network vanet mobile ad hoc network manet road side unit rsu vehicle to vehicle   vehicle infrastructure  ,Security Challenges and Issues in Vehicular Ad-Hoc Network (VANET) A Review,1,vehicular network
vehicular ad hoc network vanet attacks security threats,Security in Vehicular Adhoc Networks,1,vehicular network
authentication privacy preserving security vehicular ad hoc networks,Security schemes based on conditional privacy-preserving vehicular ad hoc networks,1,vehicular network
security vehicular ad hoc networks threats,Security Threats on Vehicula Ad Hoc Networks (VANET) A review Paper,1,vehicular network
vehicular ad hoc networks vanets mobile ad hoc networks,SecurityAnalysisOfVehicularAdHocNetworksVANETs-AComprehensiveStudy,1,vehicular network
security attack pyramid redundancy elimination mechanism,Security_Attacks_with_an_Effective_Solut,0,architecture software
security road side unit rsu base station unit bsu network attacks bandwidth,Security_on_Vehicular_Ad_Hoc_Networks_VA,1,vehicular network
vehicular ad hoc networks vanets intelligent transport system its road side units rsus obu dsrc wave node bandwidth security privacy threats attackers,Security_Threats_and_Privacy_Issues_in_Vehicular_A,1,vehicular network
vehicular ad hoc network propagation models ieee model system operating margin rayleigh fading,Signal Strength and System Operating Margin Estimation for Vehicular Ad-Hoc Networks in Rayleigh Fading Environment,1,vehicular network
vehicular ad hoc network vanet bee swarm routing protocol genetic algorithm realistic mobility model sumo move ns simulations,Simulation Based Analysis of Bee Swarm Inspired Hybrid Routing Protocol Parameters Using Realistic Mobility Model In Vehicular Ad-Hoc Networks,1,vehicular network
gpcr gpsr network simulator qos vanet,Simulation_Based_Performance_Evaluation,1,vehicular network
mobility models simulation vehicular ad hoc networks,Simulation_of_mobility_models_in_vehicular_ad_hoc_,1,vehicular network
complex network vanet topological analysis robustness,Structure performance analysis of vehicular ad hoc networks based on complex network theory,0,architecture software
vanet dtn vdtn routing algorithm ffrdv,Study_of_Routing_Algorithms_in_DTN_Enabled_Vehicul,0,architecture software
vehicular ad hoc network vanet position based routing protocols dream idm ns,Survey and Analysis of DREAM Protocol in the Vehicular Ad-Hoc Network,1,vehicular network
vanet unicast gpsr greedy routing  star,Survey of Various Protocols in Geographical Based  Routing in Vehicular Adhoc Networks,1,vehicular network
vehicular ad hoc networks routing protocols security threats trust management information security,Survey on Security Issues in Vehicular,1,vehicular network
wireless ad hoc network broadcasting mobility qos topology,Survey on Vehicular Ad hoc Network Existing Protocol QoS Performance and Characteristics,1,vehicular network
routing protocol pstn network internet,Survey_of_Reliable_Routing_Scheme_in_Veh,1,vehicular network
vanet tcp udp mac fairness,TCP and UDP Fairness in Vahicular ad hoc networks,0,architecture software
vehicular ad hoc networks security,The Security of Vehicular Ad Hoc Network,1,vehicular network
ad hoc networks vanets     its throughput pdf packet loss,THE_REALISTIC_MOBILITY_EVALUATION_OF_VEH,1,vehicular network
ca icv security vanets vanets,The_Security_Problems_of_Vehicular_Ad_Hoc_Networks,0,architecture software
fanets broadcast storming parameter sensitivity routing topology,Topological Broadcasting Using Parameter Sensitivity-Based Logical Proximity Graphs in Coordinated Ground-Flying Ad Hoc Networks,0,architecture software
vanet topology based routing reactive routing aodv dsr tora,Topology_Based_Routing_Protocols_in,1,vehicular network
vanets rsu gl tvaodv smv gm ns,Trust and Group Leader based Model to Avoid Broadcast Storm Problem in Vehicular  Ad-hoc Networks,0,architecture software
vehicular ad hoc networks vanets vehicle user trust reputation security privacy vehicles,Trust and Reputation Mechanisms in Vehicular Ad-Hoc Networks A Systematic Review,1,vehicular network
vehicular ad hoc network trust vanet security,Trust On the Security of Wireless Vehicular Ad-hoc Networking,1,vehicular network
aodv ns packet delivery ratio routing load throughput tvaodv vanets,Trusted and Secured Routing Protocol for Vehicular Ad-Hoc Networks,0,architecture software
security trust safety non safety applications attacker trusted user behavior malicious user trust levels,Trusted_computing_in_vehicular_ad_hoc_ne,0,architecture software
two tier clustering vehicular ad hoc networks highways security,Two_Tier_Clustering_Technique_in_Vehicul,1,vehicular network
deep neural network vanets routing iot agents,Ubiquitous_Vehicular_Ad_Hoc_Network_Comp,0,architecture software
route selection route reply route request highway urban introduction,Urban-AODV An improved AODV protocol for vehicular ad-hoc networks in urban environment,0,architecture software
ad hoc network arduino rf vannet vehicle,VEHICLE COLLISION AND AVOIDANCE IN A VEHICULAR AD-HOC NETWORK USING V2I PROTOCOL,1,vehicular network
vanets challenges applications,"Vehicular Ad Hoc Network (VANET) A Survey, Challenges, and Applications",0,architecture software
vehicular ad hoc network vanet long term evolution advanced lte  variation handover quality service qos,Vehicular Ad Hoc Network,1,vehicular network
vanet modeling mobility routing security,Vehicular Ad Hoc Networks (VANETs)  An Overview and Challenges,1,vehicular network
routing vanet geographical topology mobility,VEHICULAR AD HOC NETWORKS ROUTING PROTOCOLS SURVEY,1,vehicular network
vanet ad hoc network manet,Vehicular Ad-hoc Network A Survey,1,vehicular network
vanet smart city intelligent transportation system markov decision process markov chains,Vehicular ad-hoc network application for urban traffic management based on markov chains,0,architecture software
vanet modeling mobility routing security,Vehicular Ad-Hoc Networks (VANETs) - An Overview and Challenges,1,vehicular network
ad hoc networks sensors things vehicular ad hoc networks traffic information system,Vehicular Adhoc Network (VANET)An Introduction,1,vehicular network
vanets handoff mobile agent ieee      cross layer design vehicular networks introduction the past years research work going mobile ad hoc networks also called manets mobile ad hoc,Vehicular Adhoc Networks History And Future Development Arenas,1,vehicular network
mobile ad hoc networks manets vehicular social networks vsns vehicular ad hoc networks vanets internet vehicles iov,"Vehicular Social Networks and Vehicular Ad-hoc Networks, Applications, Modelling Tools and Challenges A Survey",1,vehicular network
vehicular ad hoc networks security privacy road side unit on board unit wormhole attack sybil attack blackhole attack,Vehicular_Ad_Hoc_Networks_and_Security_I,1,vehicular network
vehicular networks localization data fusion,Vehicular_ad_hoc_networks_A_new_challeng,1,vehicular network
ad hoc networks vehicular ad hoc networks vanet mobile ad hoc networks manet intelligent transport systems its dsrc routing vanet,Vehicular_Ad_Hoc_Networks_Introduction_S,1,vehicular network
vehicular ad hoc networks location privacy trust carpooling parking benefits challenges,Vehicular_Ad_Hoc_Networks_New_Challenges,1,vehicular network
vehicular ad hoc network mobile ad hoc network intelligent transportation system,Vehicular_Ad_Hoc_Networks_Survey_Paper1,1,vehicular network
vehicular ad hoc networks simulation wireless,Wireless Communications - 2011 - Martinez - A survey and comparative study of simulators for vehicular ad hoc networks ,1,vehicular network
risc embedded microprocessor fpgas adl,A Balanced HW SW Teaching Approach for Embedded Microprocessors,0,architecture software
semantic based search engine,A Comparative Study of Keyword and,0,architecture software
phrase extraction from web pages,A Distributed Framework for NLP-Based Keyword and Keyphrase Extraction From Web Pages and Documents,0,architecture software
software architecture architecture description languages definition classification comparison,A Framework for Classifying and Comparing Architecture Description Languages,0,architecture software
government isp web services adaptive mechanism,A Framework of Information Service Platform in E-Government,0,architecture software
software architecture architecture description language software environment evolution implementation mapping,A Language and Environment for Architecture-Based Software Development and Evolution,0,architecture software
software architecture maturity models isoiecieee,A Maturity Model for Software Architecture based on ISOIECIEEE 42010,0,architecture software
complexity metrics product line architecture evalua tion product line architecture quality attributes,A Metric Suite to Support Software Product Line Architecture Evaluation,0,architecture software
